from,to,time
person_956787,person_698082,35.386
person_956787,person_564005,32.13
person_394199,person_598873,31.615
person_394199,person_470670,35.022
person_584434,person_578019,29.757
person_452199,person_883822,31.955
person_452199,person_680461,34.166
person_452199,person_405540,34.752
person_727745,person_553323,30.775
person_727745,person_910509,30.694
person_727745,person_201745,34.33
person_112271,person_318948,32.774
person_711892,person_493303,31.903
person_711892,person_673095,30.922
person_268416,person_402137,30.475
person_268416,person_13902,31.037
person_688230,person_313588,30.433
person_113495,person_469306,39.498
person_113495,person_934036,30.535
person_113495,person_988267,30.446
person_113495,person_157361,35.452
person_113495,person_171357,32.864
person_113495,person_150743,35.983
person_669005,person_439015,32.229
person_669005,person_327712,31.462
person_669005,person_807447,33.035
person_669005,person_16230,33.621
person_669005,person_231524,29.813
person_669005,person_867693,31.784
person_969146,person_589127,33.672
person_969146,person_351848,37.06
person_969146,person_653767,31.532
person_689020,person_73861,33.368
person_689020,person_210364,37.753
person_960713,person_330865,36.539
person_960713,person_132752,30.958
person_960713,person_533198,35.013
person_212060,person_606478,36.677
person_496758,person_992143,29.597
person_496758,person_409087,33.5
person_496758,person_495201,35.049
person_645717,person_228523,30.825
person_645717,person_858586,34.704
person_645717,person_48520,36.479
person_499946,person_455009,31.689
person_408490,person_649477,36.841
person_408490,person_554902,31.485
person_841117,person_422368,35.477
person_841117,person_921241,35.936
person_841117,person_216106,32.429
person_696545,person_830270,33.898
person_696545,person_597174,30.637
person_696545,person_324878,32.986
person_233993,person_240836,31.491
person_233993,person_268742,30.468
person_914732,person_58567,34.404
person_914732,person_384685,32.051
person_914732,person_832237,31.623
person_987558,person_647086,31.28
person_987558,person_183034,35.742
person_786636,person_320505,35.562
person_614154,person_603077,36.629
person_614154,person_108886,34.047
person_614154,person_639200,34.252
person_300881,person_237171,33.006
person_300881,person_990871,34.571
person_300881,person_410597,34.321
person_300881,person_272283,35.194
person_300881,person_796606,32.83
person_856590,person_757746,30.926
person_867496,person_723399,32.121
person_867496,person_725529,33.06
person_150192,person_518216,34.309
person_150192,person_434232,36.086
person_919503,person_478129,34.376
person_919503,person_46509,33.339
person_919503,person_228747,32.611
person_919503,person_662450,34.168
person_919503,person_668308,34.156
person_659319,person_674728,34.161
person_659319,person_690266,33.222
person_659319,person_490510,33.591
person_85748,person_412172,37.731
person_806219,person_895759,35.976
person_992143,person_220925,33.853
person_351123,person_626063,33.103
person_736513,person_411977,43.688
person_736513,person_632385,35
person_736513,person_501396,39.686
person_356584,person_707798,34.749
person_356584,person_261680,35.599
person_356584,person_693451,36.152
person_356584,person_567449,35.133
person_356584,person_544817,36.317
person_578019,person_744545,36.319
person_578019,person_618116,39.903
person_231524,person_130561,34.012
person_231524,person_326618,32.475
person_289895,person_340378,34.08
person_249204,person_979548,33.419
person_822320,person_468821,35.86
person_942699,person_735960,33.753
person_942699,person_202849,35.287
person_313288,person_282249,31.941
person_313288,person_284086,33.549
person_313288,person_195436,33.87
person_313288,person_780447,31.501
person_220466,person_591942,35.86
person_209627,person_29522,36.56
person_209627,person_576886,34.082
person_209627,person_633538,33.741
person_973560,person_497485,31.696
person_973560,person_775624,33.943
person_205401,person_176043,33.563
person_110438,person_691679,35.846
person_837816,person_77955,32.423
person_958783,person_131006,36.044
person_135298,person_920849,33.408
person_511506,person_962786,34.874
person_990732,person_153063,33.148
person_185267,person_571566,34.522
person_185267,person_339449,34.443
person_45797,person_717140,36.768
person_313588,person_465960,33.888
person_313588,person_829943,35.933
person_313588,person_103384,34.456
person_988267,person_956018,32.094
person_268742,person_440975,35.442
person_402137,person_275331,35.44
person_934036,person_61005,36.966
person_934036,person_683385,34.244
person_934036,person_705736,37.577
person_934036,person_144129,38.418
person_235957,person_135168,33.83
person_235957,person_40104,36.095
person_388660,person_556940,32.802
person_425307,person_389728,33.438
person_425307,person_160551,38.932
person_425307,person_581448,35.4
person_597174,person_35136,33.912
person_597174,person_327222,33.884
person_145295,person_340169,34.499
person_553323,person_639453,34.59
person_553323,person_237078,35.526
person_553323,person_227093,35.492
person_553323,person_672102,38.455
person_228523,person_925118,39.315
person_889297,person_698813,32.485
person_889297,person_528261,34.395
person_889297,person_154495,38.485
person_889297,person_421072,33.391
person_573987,person_796109,39.522
person_658813,person_193331,37.351
person_658813,person_68097,33.719
person_673095,person_616863,34.358
person_757746,person_325299,34.811
person_394215,person_105208,33.899
person_394215,person_349544,36.606
person_394215,person_949052,35.106
person_394215,person_759622,39.099
person_394215,person_291956,36.913
person_394215,person_423798,38.113
person_394215,person_531113,34.241
person_394215,person_739222,40.705
person_394215,person_651593,34.54
person_132752,person_299324,34.636
person_132752,person_636820,33.692
person_633131,person_485910,34.268
person_633131,person_12441,34.046
person_633131,person_950807,36.386
person_633131,person_777743,42.326
person_482046,person_364288,37.763
person_482046,person_76318,34.284
person_957072,person_64996,35.645
person_957072,person_516877,34.101
person_435947,person_180997,35.904
person_93401,person_606329,39.99
person_93401,person_175786,34.136
person_93401,person_22413,39.679
person_93401,person_98051,38.691
person_93401,person_933577,35.564
person_93401,person_234542,34.972
person_93401,person_204207,35.131
person_93401,person_290565,37.177
person_93401,person_663281,32.86
person_93401,person_325607,33.586
person_93401,person_519365,37.233
person_647086,person_532975,35.957
person_980327,person_268628,38.76
person_145210,person_789526,34.428
person_145210,person_719242,38.9
person_240836,person_207796,33.837
person_240836,person_110887,38.555
person_240836,person_911395,36.429
person_240836,person_943200,34.937
person_240836,person_946925,35.637
person_780447,person_201373,36.551
person_780447,person_214501,36.754
person_780447,person_425379,38.384
person_780447,person_701156,35.779
person_780447,person_349711,36.374
person_780447,person_312591,35.222
person_898201,person_461554,34.321
person_898201,person_264362,37.027
person_898201,person_436528,34.69
person_898201,person_229799,32.647
person_653767,person_378473,33.601
person_644743,person_260421,34.836
person_644743,person_418427,36.342
person_619584,person_822074,35.048
person_619584,person_792285,36.874
person_587430,person_803734,34.798
person_587430,person_31034,33.389
person_774098,person_580819,36.181
person_598873,person_859140,37.216
person_832237,person_635528,35.889
person_832237,person_767454,36.263
person_832237,person_269433,36.201
person_832237,person_426296,41.051
person_818082,person_506283,38.118
person_818082,person_436502,34.422
person_818082,person_297127,34.666
person_818082,person_424580,36.975
person_818082,person_640978,37.52
person_455009,person_123450,37.161
person_455009,person_30092,34.494
person_455009,person_377519,33.978
person_455009,person_944885,38.246
person_455009,person_807600,35.358
person_127853,person_678655,37.728
person_669077,person_647530,36.934
person_669077,person_635859,41.786
person_669077,person_543709,36.451
person_712725,person_145327,35.247
person_712725,person_664249,38.829
person_712725,person_519032,34.343
person_867693,person_510093,39.971
person_867693,person_189809,41.286
person_647745,person_244890,34.598
person_647745,person_386636,38.189
person_647745,person_914767,34.038
person_647745,person_347690,34.466
person_647745,person_744726,36.39
person_647745,person_322577,35.605
person_69695,person_125013,35.555
person_69695,person_393777,37.223
person_69695,person_892047,35.254
person_493303,person_464601,42.203
person_883822,person_489268,38.009
person_883822,person_403881,36.57
person_96048,person_71722,38.592
person_96048,person_426258,43.22
person_96048,person_434017,40.9
person_900424,person_528684,37.594
person_900424,person_753631,33.673
person_900424,person_219566,35.368
person_384685,person_727431,38.135
person_239821,person_510479,35.072
person_956018,person_685439,42.671
person_956018,person_471249,37.341
person_956018,person_479159,36.525
person_564005,person_262837,36.128
person_184286,person_468667,36.626
person_184286,person_247338,37.866
person_439015,person_743371,41.942
person_439015,person_266588,39.262
person_439015,person_651747,36.491
person_439015,person_62783,34.071
person_439015,person_466796,44.281
person_439015,person_395045,35.93
person_59999,person_43336,34.686
person_59999,person_903084,41.64
person_59999,person_511568,35.871
person_59999,person_341986,37.503
person_77955,person_930434,35.04
person_216106,person_315641,36.4
person_216106,person_603384,38.422
person_216106,person_343346,34.868
person_729665,person_465753,37.323
person_326618,person_454910,34.805
person_326618,person_895875,37.176
person_326618,person_281363,38.592
person_326618,person_217572,43.019
person_326618,person_857661,40.604
person_326618,person_592036,43.301
person_698813,person_739934,35.632
person_698813,person_330323,43.827
person_698813,person_45863,36.453
person_698813,person_123326,39.342
person_760404,person_990741,38.049
person_228747,person_403318,35.542
person_228747,person_357639,35.8
person_229799,person_516785,36.628
person_303352,person_677331,39.589
person_652959,person_125955,35.445
person_652959,person_84080,37.035
person_652959,person_33925,39.753
person_652959,person_188918,38.899
person_632049,person_719186,36.878
person_318948,person_591140,41.175
person_318948,person_440695,37.06
person_663281,person_387670,37.05
person_663281,person_247148,38.866
person_324878,person_609455,35.629
person_237171,person_268231,36.859
person_835888,person_135626,35.43
person_807447,person_154297,35.609
person_725529,person_765371,39.407
person_725529,person_689454,37.856
person_626063,person_750621,35.51
person_626063,person_192712,39.131
person_585165,person_686100,35.867
person_585165,person_420868,38.613
person_585165,person_138456,38.974
person_153063,person_98351,37.893
person_153063,person_151208,35.312
person_153063,person_974197,36.007
person_153063,person_570885,39.197
person_153063,person_945293,36.731
person_385751,person_391691,39.506
person_385751,person_820182,40.058
person_640894,person_415134,36.605
person_715220,person_268481,35.803
person_46509,person_928718,35.262
person_46509,person_492237,35.804
person_648062,person_143901,36.311
person_648062,person_822000,38.203
person_73861,person_16339,39.164
person_73861,person_892782,39.274
person_73861,person_618142,39.641
person_171000,person_99781,34.849
person_171000,person_884625,36.72
person_171000,person_685294,36.772
person_171000,person_332335,35.512
person_421072,person_771848,35.681
person_421072,person_215249,37.76
person_421072,person_128496,38.554
person_429970,person_563757,43.144
person_429970,person_795827,39.51
person_920849,person_186509,39.114
person_920849,person_379554,38.309
person_920849,person_492517,36.996
person_979548,person_676583,35.041
person_409087,person_683769,36.457
person_409087,person_944732,35.763
person_284086,person_434880,42.069
person_176043,person_280524,39.059
person_176043,person_387514,38.21
person_325607,person_429396,38.687
person_325607,person_33609,39.722
person_490510,person_545737,38.853
person_490510,person_972708,37.545
person_490510,person_960469,39.663
person_378473,person_13574,39.159
person_378473,person_68530,39.844
person_378473,person_69508,36.528
person_378473,person_534999,37.111
person_45079,person_303921,37.098
person_45079,person_85931,40.046
person_45079,person_47699,37.359
person_589127,person_937628,40.807
person_589127,person_100709,35.443
person_753631,person_853984,35.335
person_753631,person_414247,38.344
person_753631,person_192261,39.972
person_735960,person_865870,40.01
person_735960,person_965386,40.683
person_135168,person_714170,40.131
person_135168,person_269582,37.671
person_135168,person_865937,42.59
person_207796,person_462346,38.025
person_207796,person_757395,42.209
person_498812,person_518651,39.246
person_498812,person_447993,43.894
person_220925,person_501325,36.213
person_220925,person_413970,39.688
person_220925,person_152941,38.298
person_195436,person_657376,37.835
person_465960,person_100973,37.307
person_465960,person_876319,37.834
person_830270,person_388896,35.846
person_830270,person_151746,36.902
person_830270,person_78286,39.55
person_830270,person_289356,35.802
person_830270,person_864244,38.19
person_830270,person_950192,40.122
person_830270,person_702216,39.213
person_105208,person_16682,37.719
person_105208,person_877111,39.677
person_105208,person_188329,39.397
person_105208,person_255324,39.432
person_105208,person_376279,38.762
person_35136,person_669670,41.484
person_35136,person_200940,44.988
person_35136,person_770108,36.599
person_35136,person_620067,39.804
person_775624,person_87023,37.162
person_775624,person_103468,38.089
person_775624,person_686020,37.474
person_130561,person_75674,37.192
person_130561,person_24020,39.505
person_914767,person_759121,39.187
person_914767,person_723184,39.456
person_914767,person_904348,37.353
person_914767,person_521000,37.125
person_12441,person_103774,41.588
person_108886,person_888718,38.805
person_62783,person_651660,38.334
person_62783,person_434710,38.58
person_340378,person_533072,38.669
person_576886,person_537624,38.937
person_576886,person_490494,36.411
person_576886,person_220627,39.453
person_516877,person_843135,37.154
person_516877,person_969893,39.623
person_516877,person_310179,37.874
person_516877,person_233640,35.634
person_516877,person_523750,37.753
person_516877,person_145172,37.664
person_175786,person_278458,38.618
person_175786,person_633565,39.428
person_175786,person_632765,37.072
person_294963,person_262454,41.905
person_294963,person_123607,35.941
person_294963,person_21188,39.952
person_294963,person_683438,36.82
person_294963,person_730117,39.705
person_668308,person_175796,38.23
person_674728,person_840893,38.726
person_674728,person_233252,37.852
person_674728,person_690425,37.113
person_674728,person_708021,38.376
person_662450,person_48995,37.755
person_662450,person_168695,36.997
person_531113,person_615657,41.764
person_531113,person_741309,39.392
person_531113,person_12760,35.853
person_531113,person_127037,41.597
person_683385,person_326919,38.494
person_683385,person_21951,37.774
person_639200,person_531954,40.61
person_639200,person_394311,42.903
person_639200,person_986491,36.562
person_485910,person_242131,36.474
person_485910,person_797195,38.944
person_485910,person_910767,39.054
person_485910,person_851473,43.227
person_76318,person_113729,41.795
person_76318,person_155153,37.291
person_113871,person_375457,35.717
person_113871,person_244162,36.094
person_518216,person_216256,36.726
person_518216,person_638577,36.678
person_461554,person_746032,44.737
person_461554,person_349017,41.544
person_461554,person_632724,37.603
person_461554,person_889509,43.863
person_461554,person_668741,39.342
person_410597,person_649660,40.785
person_410597,person_37345,43.839
person_201745,person_216203,39.457
person_201745,person_753612,43.941
person_201745,person_901024,36.901
person_201745,person_655766,37.494
person_201745,person_668004,41.416
person_201745,person_29757,39.131
person_519032,person_959155,42.609
person_519032,person_267107,37
person_519032,person_126216,42.344
person_519032,person_706673,37.497
person_519032,person_7192,42.142
person_478129,person_732066,39.957
person_528261,person_446932,46.116
person_528261,person_935253,40.173
person_528261,person_242112,36.027
person_528261,person_860111,38.239
person_58567,person_930437,37.716
person_436502,person_392508,38.974
person_436502,person_560437,37.145
person_789526,person_474442,38.679
person_347690,person_455893,38.518
person_347690,person_786186,43.281
person_347690,person_463435,39.145
person_347690,person_50431,36.801
person_347690,person_108824,43.521
person_30092,person_44911,40.734
person_30092,person_657130,41.661
person_30092,person_467997,39.563
person_340169,person_9415,39.857
person_571566,person_147291,38.521
person_571566,person_545001,39.877
person_651593,person_647793,45.58
person_639453,person_387281,39.922
person_639453,person_218266,43.358
person_244890,person_801329,38.843
person_244890,person_839317,36.214
person_299324,person_687023,41.409
person_297127,person_38707,39.45
person_297127,person_354562,44.306
person_436528,person_287213,44.878
person_858586,person_218201,42.178
person_803734,person_302385,36.389
person_803734,person_490688,42.858
person_803734,person_315005,39.006
person_454910,person_944272,39.826
person_325299,person_24539,43.108
person_325299,person_249180,41.711
